Balance Sheet,Bank,Bank (group),Bank (group) 1,Country,Rank,Total Assets Us B
31-12-2017,Postal Savings Bank of China,Postal Savings Bank of China,Other,China,23,1383.85
31-12-2017,Qatar National Bank,Other,Other,Qatar,116,221.18
31-12-2017,Rabobank Group,Other,Other,Netherlands,46,722.301
30-06-2017,Raiffeisen Schweiz,Other,Other,Switzerland,110,233.677
31-12-2017,Resona Holdings,Other,Other,Japan,70,434.653
31-12-2017,Royal Bank of Canada,Royal Bank of Canada,Other,Canada,25,1028.72
31-12-2017,Royal Bank of Scotland Group,Other,Other,UK,30,995.729
31-12-2017,Sberbank of Russia,Other,Other,Russia,66,470.181
31-12-2017,Shanghai Pudong Development Bank,Other,Other,China,36,942.777
31-12-2017,Shinhan Financial Group,Other,Other,South Korea,73,399.197
31-12-2017,Shinkin Central Bank (SCB),Other,Other,Japan,80,371.313
31-12-2017,Skandinaviska Enskilda Banken,Other,Other,Sweden,92,311.457
31-12-2017,Societe Generale,Societe Generale,Other,France,20,1527.43
31-12-2017,Standard Chartered Plc,Other,Other,UK,51,663.501
31-12-2017,State Bank of India,Other,Other,India,60,534.903
31-12-2017,State Street Corp,Other,Other,USA,109,238.425
31-12-2017,Sumitomo Mitsui Financial Group,Sumitomo Mitsui Financial Group,Other,Japan,15,1847.47
31-12-2017,Sumitomo Mitsui Trust Holdings,Other,Other,Japan,56,569.949
31-12-2017,Suntrust Banks,Other,Other,USA,118,205.962
31-12-2017,Svenska Handelsbanken,Other,Other,Sweden,87,336.691
31-12-2017,Swedbank,Other,Other,Sweden,98,269.238
31-12-2016,The Export-Import Bank of China (Eximbank),Other,Other,China,62,491.888
31-12-2017,Toronto-Dominion Bank,Other,Other,Canada,27,1006.98
31-12-2017,U.S. Bancorp,Other,Other,USA,67,462.04
31-12-2017,UBS Group AG,Other,Other,Switzerland,35,937.802
31-12-2017,UniCredit S.p.A.,Other,Other,Italy,29,1002.36
31-12-2017,United Overseas Bank (UOB),Other,Other,Singapore,99,268.23
31-12-2017,VTB Bank,Other,Other,Russia,113,225.604
31-12-2017,Wells Fargo,Wells Fargo,Wells Fargo,USA,12,1951.76
30-09-2017,Westpac Banking Corp,Other,Other,Australia,50,664.878
31-12-2017,Woori Bank,Other,Other,South Korea,89,332.893
